MPN,Price
193-EIO-63-24D,"Error: SOCKSHTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/193-EIO-63-24D (Caused by NewConnectionError('<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x0000016BB1D62C30>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))"
193-KB40,"Error: SOCKSHTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/193-KB40 (Caused by NewConnectionError('<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x0000016BB2BCE270>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))"
193-KB48,"Error: SOCKSHTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/193-KB48 (Caused by NewConnectionError('<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x0000016BB2A0E1B0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))"
193-KB63,"Error: SOCKSHTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/193-KB63 (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1000)')))"
193-KB75,"Error: SOCKSHTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/193-KB75 (Caused by ConnectTimeoutError(<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x0000016BB1D2FCE0>, 'Connection to www.bpx.co.uk timed out. (connect timeout=10)'))"
193-KC10,"Error: SOCKSHTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/193-KC10 (Caused by ConnectTimeoutError(<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x0000016BB1D2D970>, 'Connection to www.bpx.co.uk timed out. (connect timeout=10)'))"
193-KC12,"Error: SOCKSHTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/193-KC12 (Caused by ConnectTimeoutError(<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x0000016BB1D634A0>, 'Connection to www.bpx.co.uk timed out. (connect timeout=10)'))"
193-T1AC20,"Error: SOCKSHTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/193-T1AC20 (Caused by ConnectTimeoutError(<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x0000016BB2A0F2C0>, 'Connection to www.bpx.co.uk timed out. (connect timeout=10)'))"
193-T1BC25,"Error: SOCKSHTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/193-T1BC25 (Caused by ConnectTimeoutError(<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x0000016BB2A0F5C0>, 'Connection to www.bpx.co.uk timed out. (connect timeout=10)'))"
194L-E16-1751,"Error: SOCKSHTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/194L-E16-1751 (Caused by ConnectTimeoutError(<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x0000016BB2B7CA70>, 'Connection to www.bpx.co.uk timed out. (connect timeout=10)'))"
194R-C30-1753,"Error: SOCKSHTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/194R-C30-1753 (Caused by ConnectTimeoutError(<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x0000016BB1D07D70>, 'Connection to www.bpx.co.uk timed out. (connect timeout=10)'))"
194R-HM4E,"Error: SOCKSHTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/194R-HM4E (Caused by NewConnectionError('<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x0000016BB1D07E90>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))"
194R-J100-1753,"Error: SOCKSHTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/194R-J100-1753 (Caused by ConnectTimeoutError(<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x0000016BB2B7D280>, 'Connection to www.bpx.co.uk timed out. (connect timeout=10)'))"
20-750-20COMM,"Error: SOCKSHTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/20-750-20COMM (Caused by ConnectTimeoutError(<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x0000016BB1D61370>, 'Connection to www.bpx.co.uk timed out. (connect timeout=10)'))"
20-750-NEMA1-F2,"Error: SOCKSHTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/20-750-NEMA1-F2 (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1000)')))"
2090-CSBM1DF-14AF15,"Error: SOCKSHTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/2090-CSBM1DF-14AF15 (Caused by ConnectTimeoutError(<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x0000016BB2B7F0E0>, 'Connection to www.bpx.co.uk timed out. (connect timeout=10)'))"
2090-CSBM1DG-10AF30,"Error: SOCKSHTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/2090-CSBM1DG-10AF30 (Caused by ConnectTimeoutError(<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x0000016BB1D07E30>, 'Connection to www.bpx.co.uk timed out. (connect timeout=10)'))"
2090-CSBM1DG-14AF20,"Error: SOCKSHTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/2090-CSBM1DG-14AF20 (Caused by ConnectTimeoutError(<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x0000016BB1D05F70>, 'Connection to www.bpx.co.uk timed out. (connect timeout=10)'))"
2094-BM01-M,"Error: SOCKSHTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/2094-BM01-M (Caused by NewConnectionError('<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x0000016BB2B7EC00>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))"
2094-EN02D-M01-S0,"Error: SOCKSHTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/2094-EN02D-M01-S0 (Caused by ConnectTimeoutError(<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x0000016BB2A0DEB0>, 'Connection to www.bpx.co.uk timed out. (connect timeout=10)'))"
2198-DB80-F,"Error: SOCKSHTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/2198-DB80-F (Caused by NewConnectionError('<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x0000016BB2BABDA0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))"
2198-KITCON-DSL,"Error: SOCKSHTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/2198-KITCON-DSL (Caused by NewConnectionError('<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x0000016BB2BA80B0>: Failed to establish a new connection: Connection closed unexpectedly'))"
2198-P208,"Error: SOCKSHTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/2198-P208 (Caused by ConnectTimeoutError(<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x0000016BB2BA99D0>, 'Connection to www.bpx.co.uk timed out. (connect timeout=10)'))"
22-HIM-A3,"Error: SOCKSHTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/22-HIM-A3 (Caused by NewConnectionError('<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x0000016BB2A0ECF0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))"
25B-A4P8N114,"Error: SOCKSHTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/25B-A4P8N114 (Caused by NewConnectionError('<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x0000016BB2BA9310>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))"
25B-A8P0N114,"Error: SOCKSHTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/25B-A8P0N114 (Caused by NewConnectionError('<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x0000016BB29EA330>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))"
25C-A4P8N114,"Error: SOCKSHTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/25C-A4P8N114 (Caused by ConnectTimeoutError(<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x0000016BB29EA8A0>, 'Connection to www.bpx.co.uk timed out. (connect timeout=10)'))"
25-ENC-2,"Error: HTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/25-ENC-2 (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 407 Proxy Authentication Required')))"
2713P-T7WD1,"Error: HTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/2713P-T7WD1 (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 407 Proxy Authentication Required')))"
42GRU-9203-QD,"Error: HTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/42GRU-9203-QD (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 407 Proxy Authentication Required')))"
440E-D13118,"Error: HTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/440E-D13118 (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 400 Bad Request')))"
440E-LL5SS8,"Error: HTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/440E-LL5SS8 (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 407 Proxy Authentication Required')))"
440G-LZS21SPRH,"Error: HTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/440G-LZS21SPRH (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 407 Proxy Authentication Required')))"
440K-C21048,"Error: HTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/440K-C21048 (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 407 Unauthorized')))"
440K-C21050,"Error: HTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/440K-C21050 (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 400 Bad Request')))"
440L-R4K1280YD,"Error: HTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/440L-R4K1280YD (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 405 Method Not Allowed')))"
440N-Z21S26B,"Error: HTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/440N-Z21S26B (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 407 Proxy Authentication Required')))"
440R-N23132S,"Error: HTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/440R-N23132S (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 407 Proxy Authentication Required')))"
